source,tam_state,response,mean_activity
CIITA,IFN-stimulated,MPR,18.30570934
CIITA,IFN-stimulated,NMPR,17.49083643
CIITA,Lipid-associated,MPR,15.18879002
CIITA,Lipid-associated,NMPR,15.33792959
CIITA,M2-SIGLEC8+,MPR,19.64989612
CIITA,M2-SIGLEC8+,NMPR,19.58767105
CIITA,MRC1+ M2-like,MPR,17.81574965
CIITA,MRC1+ M2-like,NMPR,14.40054012
CIITA,Monocyte-derived,NMPR,14.12750176
CIITA,Regulatory,MPR,16.63486916
CIITA,Regulatory,NMPR,16.51682559
CIITA,Resident M2,MPR,16.86816154
CIITA,Resident M2,NMPR,16.15895947
CIITA,SPP1+ immunosuppressive,MPR,18.67729284
CIITA,SPP1+ immunosuppressive,NMPR,14.6274509
CIITA,Stress-response,MPR,12.73273989
CIITA,Stress-response,NMPR,17.70406155
CREB1,IFN-stimulated,MPR,9.743776222
CREB1,IFN-stimulated,NMPR,10.10310194
CREB1,Lipid-associated,MPR,11.63879588
CREB1,Lipid-associated,NMPR,11.82608097
CREB1,M2-SIGLEC8+,MPR,10.47391078
CREB1,M2-SIGLEC8+,NMPR,11.61401073
CREB1,MRC1+ M2-like,MPR,8.991220229
CREB1,MRC1+ M2-like,NMPR,8.516438861
CREB1,Monocyte-derived,NMPR,12.38535144
CREB1,Regulatory,MPR,10.22605609
CREB1,Regulatory,NMPR,10.01342709
CREB1,Resident M2,MPR,10.41823211
CREB1,Resident M2,NMPR,11.22772807
CREB1,SPP1+ immunosuppressive,MPR,10.31732132
CREB1,SPP1+ immunosuppressive,NMPR,12.87119233
CREB1,Stress-response,MPR,12.1720048
CREB1,Stress-response,NMPR,13.26164984
EGR1,IFN-stimulated,MPR,5.747319651
EGR1,IFN-stimulated,NMPR,7.104147916
EGR1,Lipid-associated,MPR,8.455304667
EGR1,Lipid-associated,NMPR,8.128190224
EGR1,M2-SIGLEC8+,MPR,6.497109581
EGR1,M2-SIGLEC8+,NMPR,7.489047288
EGR1,MRC1+ M2-like,MPR,6.759388165
EGR1,MRC1+ M2-like,NMPR,6.436274869
EGR1,Monocyte-derived,NMPR,9.288815956
EGR1,Regulatory,MPR,7.352573045
EGR1,Regulatory,NMPR,6.893612141
EGR1,Resident M2,MPR,5.477215873
EGR1,Resident M2,NMPR,7.385893559
EGR1,SPP1+ immunosuppressive,MPR,6.882590407
EGR1,SPP1+ immunosuppressive,NMPR,10.0806843
EGR1,Stress-response,MPR,8.418616009
EGR1,Stress-response,NMPR,10.34843079
HIF1A,IFN-stimulated,MPR,11.25012893
HIF1A,IFN-stimulated,NMPR,12.85142439
HIF1A,Lipid-associated,MPR,13.84061295
HIF1A,Lipid-associated,NMPR,12.74034802
HIF1A,M2-SIGLEC8+,MPR,10.51863479
HIF1A,M2-SIGLEC8+,NMPR,11.49825495
HIF1A,MRC1+ M2-like,MPR,12.08149696
HIF1A,MRC1+ M2-like,NMPR,11.85672984
HIF1A,Monocyte-derived,NMPR,14.33458404
HIF1A,Regulatory,MPR,11.69712732
HIF1A,Regulatory,NMPR,12.20808621
HIF1A,Resident M2,MPR,10.71505055
HIF1A,Resident M2,NMPR,12.47796969
HIF1A,SPP1+ immunosuppressive,MPR,10.49123235
HIF1A,SPP1+ immunosuppressive,NMPR,13.89888248
HIF1A,Stress-response,MPR,14.22467693
HIF1A,Stress-response,NMPR,15.68562391
HSF1,IFN-stimulated,MPR,6.701693548
HSF1,IFN-stimulated,NMPR,7.876213757
HSF1,Lipid-associated,MPR,11.0153411
HSF1,Lipid-associated,NMPR,9.688767857
HSF1,M2-SIGLEC8+,MPR,6.950443725
HSF1,M2-SIGLEC8+,NMPR,8.076134275
HSF1,MRC1+ M2-like,MPR,7.440281241
HSF1,MRC1+ M2-like,NMPR,5.628249544
HSF1,Monocyte-derived,NMPR,9.040368892
HSF1,Regulatory,MPR,7.385762983
HSF1,Regulatory,NMPR,6.01684474
HSF1,Resident M2,MPR,6.813608441
HSF1,Resident M2,NMPR,7.472379388
HSF1,SPP1+ immunosuppressive,MPR,7.931519157
HSF1,SPP1+ immunosuppressive,NMPR,11.55883218
HSF1,Stress-response,MPR,11.88072818
HSF1,Stress-response,NMPR,12.20785993
HSF2,IFN-stimulated,MPR,6.246239735
HSF2,IFN-stimulated,NMPR,6.943726956
HSF2,Lipid-associated,MPR,10.45663927
HSF2,Lipid-associated,NMPR,7.779223016
HSF2,M2-SIGLEC8+,MPR,7.05670449
HSF2,M2-SIGLEC8+,NMPR,6.959215756
HSF2,MRC1+ M2-like,MPR,6.125748411
HSF2,MRC1+ M2-like,NMPR,4.709991049
HSF2,Monocyte-derived,NMPR,6.369721371
HSF2,Regulatory,MPR,5.90068021
HSF2,Regulatory,NMPR,5.428463614
HSF2,Resident M2,MPR,7.165590432
HSF2,Resident M2,NMPR,6.199264474
HSF2,SPP1+ immunosuppressive,MPR,7.074877863
HSF2,SPP1+ immunosuppressive,NMPR,8.375551147
HSF2,Stress-response,MPR,7.924165306
HSF2,Stress-response,NMPR,8.615643964
IRF1,IFN-stimulated,MPR,13.71210891
IRF1,IFN-stimulated,NMPR,12.96498333
IRF1,Lipid-associated,MPR,8.894225866
IRF1,Lipid-associated,NMPR,9.447245251
IRF1,M2-SIGLEC8+,MPR,10.21039844
IRF1,M2-SIGLEC8+,NMPR,10.68308464
IRF1,MRC1+ M2-like,MPR,9.744899201
IRF1,MRC1+ M2-like,NMPR,7.946704401
IRF1,Monocyte-derived,NMPR,11.308326
IRF1,Regulatory,MPR,9.012637083
IRF1,Regulatory,NMPR,8.673928765
IRF1,Resident M2,MPR,10.62553223
IRF1,Resident M2,NMPR,10.58830984
IRF1,SPP1+ immunosuppressive,MPR,10.02287974
IRF1,SPP1+ immunosuppressive,NMPR,10.28060549
IRF1,Stress-response,MPR,10.27245902
IRF1,Stress-response,NMPR,12.99022033
IRF5,IFN-stimulated,MPR,2.163894542
IRF5,IFN-stimulated,NMPR,3.629174095
IRF5,Lipid-associated,MPR,2.4308019
IRF5,Lipid-associated,NMPR,1.963139439
IRF5,M2-SIGLEC8+,MPR,0.368817312
IRF5,M2-SIGLEC8+,NMPR,1.397202953
IRF5,MRC1+ M2-like,MPR,0.879892474
IRF5,MRC1+ M2-like,NMPR,1.012401446
IRF5,Monocyte-derived,NMPR,3.653533868
IRF5,Regulatory,MPR,1.028574951
IRF5,Regulatory,NMPR,1.096359446
IRF5,Resident M2,MPR,0.533210482
IRF5,Resident M2,NMPR,2.080106801
IRF5,SPP1+ immunosuppressive,MPR,2.099916171
IRF5,SPP1+ immunosuppressive,NMPR,5.12937402
IRF5,Stress-response,MPR,2.438898955
IRF5,Stress-response,NMPR,5.563647414
JUN,IFN-stimulated,MPR,13.16870381
JUN,IFN-stimulated,NMPR,14.61872745
JUN,Lipid-associated,MPR,15.470443
JUN,Lipid-associated,NMPR,14.89961189
JUN,M2-SIGLEC8+,MPR,12.54477411
