tam_state,source,p_value,median_MPR,median_NMPR,p_adj
IFN-stimulated,EGR1,4.87E-34,5.687529008,7.008507407,9.73E-33
IFN-stimulated,HIF1A,1.63E-30,11.44092524,12.86231874,1.63E-29
IFN-stimulated,JUND,2.68E-30,3.949219552,5.293370735,1.79E-29
IFN-stimulated,JUN,6.89E-26,13.17794521,14.66380864,3.45E-25
IFN-stimulated,IRF5,1.05E-23,1.941434983,3.426273767,4.20E-23
IFN-stimulated,HSF1,1.08E-17,6.787451639,7.812249448,3.59E-17
IFN-stimulated,HSF2,1.65E-10,6.196485782,7.049955452,4.71E-10
IFN-stimulated,CIITA,2.02E-09,18.60302901,17.30720589,5.05E-09
IFN-stimulated,IRF1,1.93E-08,13.9633117,12.95058475,4.28E-08
IFN-stimulated,NFKB,1.83E-07,15.74791947,16.55214472,3.67E-07
IFN-stimulated,KLF6,1.00E-06,4.788342021,5.258333187,1.82E-06
IFN-stimulated,XBP1,9.04E-05,4.857066328,5.189252947,0.000150737
IFN-stimulated,NFKB1,0.001227585,11.60844964,12.04775783,0.001888592
IFN-stimulated,CREB1,0.001718953,9.884162765,10.18459251,0.002455648
IFN-stimulated,RELA,0.033456846,13.82553624,14.13551046,0.044609128
IFN-stimulated,REL,0.039153243,11.20625869,11.54303644,0.048941554
IFN-stimulated,RFX5,0.162431833,15.07566074,14.69492485,0.191096274
IFN-stimulated,RFXANK,0.264353213,16.38885081,16.00068239,0.293725792
IFN-stimulated,RFXAP,0.290187421,17.56251367,17.22299476,0.305460443
IFN-stimulated,NFKBIB,0.484693677,3.542209185,3.628399151,0.484693677
Lipid-associated,HSF2,0.006160485,10.80414066,7.949269901,0.123209691
Lipid-associated,HSF1,0.1427979,11.19101222,9.707841543,0.676951104
Lipid-associated,REL,0.236932886,10.27846107,11.13136502,0.676951104
Lipid-associated,HIF1A,0.17314077,13.61824684,12.72013044,0.676951104
Lipid-associated,NFKB,0.231134828,16.71275471,15.64717889,0.676951104
Lipid-associated,JUND,0.171209421,4.689920954,5.410140625,0.676951104
Lipid-associated,KLF6,0.133965757,6.865586593,7.940826281,0.676951104
Lipid-associated,IRF1,0.330211007,8.499228707,9.307054643,0.691695915
Lipid-associated,NFKBIB,0.383400266,3.260700819,4.29381125,0.691695915
Lipid-associated,IRF5,0.415017549,1.784753219,1.759133108,0.691695915
Lipid-associated,JUN,0.374739499,15.48687921,14.95336464,0.691695915
Lipid-associated,XBP1,0.283149645,7.194714781,6.662265616,0.691695915
Lipid-associated,RFXAP,0.511500926,16.3895021,16.24173951,0.715090318
Lipid-associated,RFXANK,0.533081843,15.36885141,15.09820297,0.715090318
Lipid-associated,EGR1,0.536317739,8.513499306,8.178174341,0.715090318
Lipid-associated,RELA,0.645661536,14.74482471,14.48045283,0.759601807
Lipid-associated,NFKB1,0.608187787,11.94965358,12.2380182,0.759601807
Lipid-associated,RFX5,0.709513327,13.76221851,13.63897126,0.784749313
Lipid-associated,CREB1,0.745511847,12.20262978,11.84332639,0.784749313
Lipid-associated,CIITA,0.810536459,15.40527408,15.39530411,0.810536459
M2-SIGLEC8+,NFKBIB,1.36E-11,3.154878336,4.876961928,2.72E-10
M2-SIGLEC8+,REL,4.11E-08,10.02423242,11.41406238,4.11E-07
M2-SIGLEC8+,JUND,8.37E-08,3.394188831,4.408479254,5.58E-07
M2-SIGLEC8+,JUN,1.40E-07,12.74835248,13.80998558,6.99E-07
M2-SIGLEC8+,NFKB,2.92E-07,15.19907393,16.35217382,1.17E-06
M2-SIGLEC8+,RELA,4.61E-07,12.73776819,14.14800311,1.54E-06
M2-SIGLEC8+,IRF5,1.47E-06,0.260749968,1.176971177,4.21E-06
M2-SIGLEC8+,EGR1,2.23E-06,6.551291004,7.479578351,5.58E-06
M2-SIGLEC8+,NFKB1,3.30E-06,10.54031446,11.96469658,7.34E-06
M2-SIGLEC8+,CREB1,4.14E-06,10.38303818,11.70685495,8.28E-06
M2-SIGLEC8+,HIF1A,0.000141267,10.55690123,11.42724101,0.00025685
M2-SIGLEC8+,HSF1,0.00045034,7.139382077,7.950271322,0.000750566
M2-SIGLEC8+,IRF1,0.076415466,10.0386198,10.73486789,0.109164951
M2-SIGLEC8+,XBP1,0.072082909,5.204791146,5.638850693,0.109164951
M2-SIGLEC8+,RFXAP,0.193281397,19.9394654,19.48148457,0.257708529
M2-SIGLEC8+,KLF6,0.245783182,6.889747337,7.186399432,0.307228977
M2-SIGLEC8+,RFXANK,0.299702129,18.54490348,18.2336605,0.35259074
M2-SIGLEC8+,HSF2,0.333577921,7.293161899,6.849199375,0.370642135
M2-SIGLEC8+,RFX5,0.624621449,16.77232759,16.80517107,0.657496263
M2-SIGLEC8+,CIITA,0.945411376,19.54075414,19.72055685,0.945411376
MRC1+ M2-like,RFX5,3.80E-165,17.3928361,12.80271313,7.61E-164
MRC1+ M2-like,CIITA,3.73E-163,18.07208692,13.66082162,3.73E-162
MRC1+ M2-like,IRF1,1.99E-160,9.443572307,7.878847543,1.33E-159
MRC1+ M2-like,RFXAP,3.55E-160,20.38710496,15.22712001,1.77E-159
MRC1+ M2-like,RFXANK,1.50E-159,19.00273662,14.12361232,6.00E-159
MRC1+ M2-like,HSF1,2.30E-144,7.349641426,5.587220952,7.66E-144
MRC1+ M2-like,HSF2,2.91E-123,6.036718464,4.7227988,8.31E-123
MRC1+ M2-like,RELA,9.42E-115,12.12747525,10.5505585,2.36E-114
MRC1+ M2-like,NFKB1,2.55E-75,9.911547489,8.84982428,5.66E-75
MRC1+ M2-like,NFKBIB,2.14E-65,2.354971879,1.613052671,4.27E-65
MRC1+ M2-like,XBP1,1.94E-55,4.579192992,3.783802834,3.52E-55
MRC1+ M2-like,REL,1.44E-39,8.801567918,8.011130001,2.40E-39
MRC1+ M2-like,CREB1,5.08E-30,9.088968181,8.480932062,7.82E-30
MRC1+ M2-like,EGR1,8.71E-17,6.85378323,6.49400525,1.24E-16
MRC1+ M2-like,KLF6,1.44E-16,4.959762952,5.430386062,1.92E-16
MRC1+ M2-like,NFKB,4.14E-10,14.88600335,14.4765653,5.17E-10
MRC1+ M2-like,HIF1A,1.03E-08,12.44559511,12.11442772,1.21E-08
MRC1+ M2-like,JUN,8.70E-06,13.92465039,13.73304226,9.67E-06
MRC1+ M2-like,IRF5,7.97E-05,0.695414146,0.885174306,8.39E-05
MRC1+ M2-like,JUND,0.793182151,3.327906453,3.30002981,0.793182151
Regulatory,HSF1,0.019049715,7.393713306,5.880128662,0.263324447
Regulatory,KLF6,0.026332445,6.744766526,5.843956677,0.263324447
Regulatory,RFXANK,0.059263536,18.40415107,16.12089841,0.283385001
Regulatory,RFX5,0.07084625,16.69069387,14.88234437,0.283385001
Regulatory,RELA,0.054361683,12.05955354,11.19389762,0.283385001
Regulatory,RFXAP,0.088206668,19.65199172,17.29853952,0.294022228
Regulatory,NFKB1,0.114060901,9.766856071,9.180517733,0.312856887
Regulatory,NFKBIB,0.130525625,3.229499354,2.434464819,0.312856887
Regulatory,XBP1,0.140785599,5.451496559,4.627475171,0.312856887
Regulatory,REL,0.230625958,9.838719668,9.091604173,0.419319923
Regulatory,HIF1A,0.223374853,11.34074589,12.21333664,0.419319923
Regulatory,EGR1,0.315187965,7.676684008,6.890599665,0.525313275
Regulatory,IRF1,0.351400575,8.975674033,8.558325168,0.540616269
Regulatory,HSF2,0.407161942,5.907509025,5.333183609,0.562793834
Regulatory,JUND,0.422095376,3.454347116,3.898448922,0.562793834
Regulatory,JUN,0.514433007,14.05965593,13.7687091,0.643041259
Regulatory,CREB1,0.552555574,10.48774328,10.11053443,0.650065381
Regulatory,IRF5,0.851013363,1.237614624,0.933137992,0.942704573
Regulatory,NFKB,0.895569345,14.69945691,14.63656197,0.942704573
Regulatory,CIITA,0.985535237,16.76764378,17.28253563,0.985535237
Resident M2,EGR1,2.98E-05,6.042817003,7.368200833,0.000596721
Resident M2,RFXAP,0.000240863,18.54317297,14.27021857,0.00096345
Resident M2,RFXANK,0.000159702,17.38064579,13.22331975,0.00096345
Resident M2,IRF5,0.000213619,0.618725233,2.02745352,0.00096345
Resident M2,HIF1A,0.000149134,11.34581816,12.5660016,0.00096345
Resident M2,XBP1,0.000328608,4.439876695,6.225360189,0.000981265
Resident M2,KLF6,0.000343443,5.25263177,6.920287296,0.000981265
Resident M2,RFX5,0.000403878,16.11041874,12.41732023,0.001009695
Resident M2,NFKBIB,0.00055053,3.144542556,4.504211566,0.001223399
Resident M2,HSF2,0.002896595,7.55413759,6.206723451,0.005793191
Resident M2,CIITA,0.126183675,17.2990327,16.1835423,0.229424863
Resident M2,HSF1,0.309687897,6.441944547,7.476677219,0.516146494
Resident M2,NFKB1,0.369634736,11.44945156,10.84940581,0.568668825
Resident M2,RELA,0.437492365,13.44177307,13.15744575,0.624989093
Resident M2,CREB1,0.476268983,11.46949023,11.29133474,0.635025311
Resident M2,NFKB,0.546432564,15.78542933,15.75175105,0.683040705
Resident M2,REL,0.660072779,11.30592772,11.00023316,0.733414198
Resident M2,IRF1,0.629883779,10.7726023,10.45758726,0.733414198
Resident M2,JUND,0.752699236,4.057046143,4.441740167,0.792314985
Resident M2,JUN,0.85728423,13.53259796,13.60890714,0.85728423
SPP1+ immunosuppressive,CIITA,4.32E-08,19.30381218,14.70260316,8.64E-07
SPP1+ immunosuppressive,EGR1,2.85E-07,6.623409609,10.53245048,2.85E-06
SPP1+ immunosuppressive,NFKBIB,1.13E-06,2.70615977,7.247786509,3.23E-06
SPP1+ immunosuppressive,IRF5,9.97E-07,1.603617,5.194509971,3.23E-06
SPP1+ immunosuppressive,HIF1A,9.32E-07,9.880091673,14.30648172,3.23E-06
SPP1+ immunosuppressive,JUND,6.29E-07,3.913275145,6.982645897,3.23E-06
SPP1+ immunosuppressive,KLF6,9.69E-07,6.482826791,9.76210089,3.23E-06
SPP1+ immunosuppressive,RFX5,9.44E-06,17.64192375,14.52672979,2.16E-05
SPP1+ immunosuppressive,XBP1,9.70E-06,5.852504563,8.271555688,2.16E-05
SPP1+ immunosuppressive,JUN,1.08E-05,12.90276187,16.93709185,2.16E-05
SPP1+ immunosuppressive,NFKB,1.87E-05,14.71655918,18.57938572,3.39E-05
SPP1+ immunosuppressive,CREB1,2.58E-05,10.10262578,13.52610873,4.30E-05
SPP1+ immunosuppressive,NFKB1,2.85E-05,10.78554297,15.05779104,4.39E-05
SPP1+ immunosuppressive,RFXAP,4.62E-05,20.86367799,17.28722203,6.16E-05
SPP1+ immunosuppressive,RFXANK,4.58E-05,19.56504863,16.20167436,6.16E-05
SPP1+ immunosuppressive,REL,5.67E-05,10.19278741,14.14331475,7.09E-05
SPP1+ immunosuppressive,RELA,6.88E-05,11.90014778,17.26162759,8.10E-05
SPP1+ immunosuppressive,HSF1,8.01E-05,7.049796896,12.69394717,8.91E-05
SPP1+ immunosuppressive,HSF2,0.005220892,6.790566227,8.852574105,0.005495676
SPP1+ immunosuppressive,IRF1,0.344960843,10.1187392,10.45978448,0.344960843
Stress-response,JUND,0.002015409,5.178994052,8.056465576,0.040308174
Stress-response,CIITA,0.024883566,14.72682164,18.77262767,0.097947735
Stress-response,RELA,0.039576954,14.63528229,18.13769102,0.097947735
Stress-response,REL,0.017429064,11.67360366,14.83478953,0.097947735
Stress-response,IRF1,0.044076481,9.63206665,13.21604567,0.097947735
Stress-response,NFKBIB,0.042989689,3.133507207,7.142769068,0.097947735
Stress-response,IRF5,0.040153399,3.879766271,5.326297587,0.097947735
Stress-response,JUN,0.029440588,15.69047608,17.8670724,0.097947735
Stress-response,EGR1,0.034954784,8.479372485,10.28332182,0.097947735
Stress-response,RFXAP,0.06529698,16.13720821,19.86043006,0.114387294
Stress-response,RFXANK,0.06336071,15.11078333,18.58074018,0.114387294
Stress-response,RFX5,0.068632376,14.42199422,16.84332218,0.114387294
Stress-response,NFKB1,0.088581955,14.19167196,15.43425762,0.136279931
Stress-response,NFKB,0.122775013,17.68679211,19.19770496,0.175392876
Stress-response,HIF1A,0.158421998,14.41067219,15.54693218,0.211229331
Stress-response,KLF6,0.200875943,6.809497465,8.43115467,0.251094929
Stress-response,CREB1,0.25231842,13.20602922,13.39826094,0.2968452
Stress-response,HSF2,0.559515182,8.771172343,9.059562056,0.621683536
Stress-response,HSF1,0.60557511,11.77902191,12.6458734,0.637447485
Stress-response,XBP1,0.883713327,6.556672277,7.40489995,0.883713327
