signature,p_value,median_MPR,median_NMPR,p_adj
HALLMARK_HYPOXIA,2.70558515020405e-148,0.118697749196142,0.133311897106109,1.35279257510202e-146
HALLMARK_PEROXISOME,2.36086078089379e-112,0.0861731101368407,0.071598910588548,5.90215195223448e-111
HALLMARK_ANGIOGENESIS,8.33651890080345e-79,0.0708741140735741,0.0917988525143436,1.38941981680057e-77
HALLMARK_KRAS_SIGNALING_UP,2.43500294703737e-67,0.0863076098606646,0.0944712397284745,3.04375368379671e-66
HALLMARK_COAGULATION,1.87280154314449e-64,0.127045879367202,0.110937191313466,1.87280154314449e-63
HALLMARK_GLYCOLYSIS,3.27147248053727e-61,0.0807431225437656,0.0870543051089675,2.72622706711439e-60
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,9.05652175499223e-59,0.0923168988924616,0.0985923544122901,6.46894411070873e-58
HALLMARK_COMPLEMENT,3.92037256106959e-48,0.194117541979278,0.184044301536263,2.4502328506685e-47
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,8.01879152836718e-46,0.159661016949153,0.143929436181252,4.45488418242621e-45
HALLMARK_TNFA_SIGNALING_VIA_NFKB,2.44887719478617e-45,0.165183994283673,0.190450160771704,1.22443859739309e-44
HALLMARK_HEDGEHOG_SIGNALING,1.39323857309409e-34,0.0269059136760791,0.0344995687553905,6.33290260497316e-34
HALLMARK_TGF_BETA_SIGNALING,7.66102899026159e-34,0.118172671822926,0.127435075143055,3.192095412609e-33
HALLMARK_INFLAMMATORY_RESPONSE,1.4740482289495e-33,0.112027509824937,0.126014648088603,5.66941626519039e-33
HALLMARK_MYC_TARGETS_V1,2.60118653759812e-32,0.189537334762415,0.176770275098249,9.28995191999328e-32
HALLMARK_UV_RESPONSE_DN,5.90274252521217e-31,0.0454198287604593,0.0497421677369138,1.96758084173739e-30
HALLMARK_IL2_STAT5_SIGNALING,3.76530531221687e-30,0.0999156496769562,0.105032304379038,1.17665791006777e-29
HALLMARK_ADIPOGENESIS,1.06836358768055e-29,0.108794212218649,0.0995051804215792,3.14224584611927e-29
HALLMARK_FATTY_ACID_METABOLISM,1.47291251510325e-29,0.0854597463007766,0.0789925102143567,3.88287050934048e-29
HALLMARK_OXIDATIVE_PHOSPHORYLATION,1.47549079354938e-29,0.158560200071454,0.142070382279386,3.88287050934048e-29
HALLMARK_APICAL_JUNCTION,1.60246994761281e-26,0.0983172561629153,0.0930564487316899,4.00617486903203e-26
HALLMARK_ESTROGEN_RESPONSE_EARLY,1.30416571835609e-25,0.0365326902465166,0.0394105037513398,3.10515647227641e-25
HALLMARK_ESTROGEN_RESPONSE_LATE,7.80539214580651e-25,0.0599607002500894,0.0630082172204359,1.77395276041057e-24
HALLMARK_P53_PATHWAY,1.03634317438914e-24,0.113851375491247,0.11813683458378,2.25291994432421e-24
HALLMARK_G2M_CHECKPOINT,2.84827230390998e-23,0.0473401214719543,0.0516559485530547,5.9339006331458e-23
HALLMARK_DNA_REPAIR,5.41611186202741e-23,0.0417456417456418,0.0445442845442845,1.08322237240548e-22
HALLMARK_PROTEIN_SECRETION,2.52265355557945e-21,0.143666035136066,0.135782667355609,4.85125683765279e-21
HALLMARK_INTERFERON_ALPHA_RESPONSE,8.62155430188909e-16,0.153530803498476,0.138123725550101,1.59658412997946e-15
HALLMARK_BILE_ACID_METABOLISM,5.08290015416681e-15,0.0437583502399921,0.0388100598743134,9.07660741815501e-15
HALLMARK_XENOBIOTIC_METABOLISM,6.05815871470383e-15,0.0781189710610932,0.0745158985351911,1.0445101232248e-14
HALLMARK_PANCREAS_BETA_CELLS,1.58334658050734e-14,0.043621155795877,0.0392446772558297,2.63891096751223e-14
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,1.74532150857963e-14,0.122716317406583,0.127162560790879,2.81503469125747e-14
HALLMARK_IL6_JAK_STAT3_SIGNALING,7.8741336286458e-14,0.125884173297966,0.136332417582418,1.23033337947591e-13
HALLMARK_ANDROGEN_RESPONSE,5.90963873771681e-11,0.107592125672195,0.111975483262612,8.95399808744972e-11
HALLMARK_MYC_TARGETS_V2,7.68933770972429e-10,0.0376367409630785,0.0413242035901464,1.1307849573124e-09
HALLMARK_NOTCH_SIGNALING,3.9292626585557e-09,0.0350627738456353,0.0314711830131446,5.61323236936529e-09
HALLMARK_CHOLESTEROL_HOMEOSTASIS,3.29429937300996e-05,0.136604296604297,0.131268191268191,4.57541579584716e-05
HALLMARK_HEME_METABOLISM,4.02179679269042e-05,0.0728742408002858,0.0709896391568418,5.43486053066273e-05
HALLMARK_APICAL_SURFACE,6.60287513178316e-05,0.0675357637286571,0.0645669896938933,8.68799359445153e-05
HALLMARK_SPERMATOGENESIS,0.000119159869458678,0.0126991516656321,0.011887026691496,0.000152769063408561
HALLMARK_ALLOGRAFT_REJECTION,0.000661918677123628,0.168808503036799,0.16730618077885,0.000827398346404535
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.000917006443218275,0.0326827382965361,0.0342609143758957,0.00111830054051009
HALLMARK_MITOTIC_SPINDLE,0.00180285843838213,0.0531981335247667,0.053846015793252,0.00214626004569302
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.00475284193148265,0.155754105374009,0.153641359792016,0.00552656038544495
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.0451076075788396,0.162250803858521,0.165700250089318,0.0501195639764884
HALLMARK_KRAS_SIGNALING_DN,0.0449132816382315,0.0120828867452661,0.0121864951768489,0.0501195639764884
HALLMARK_MYOGENESIS,0.16984851449746,0.0455948553054663,0.0446320114326545,0.184617950540717
HALLMARK_E2F_TARGETS,0.29228918470003,0.039807073954984,0.039989281886388,0.310945941170244
HALLMARK_APOPTOSIS,0.408830140666711,0.151913472439256,0.151451682796475,0.425864729861157
HALLMARK_MTORC1_SIGNALING,0.50489281524953,0.157284744551626,0.155212575919971,0.515196750254622
HALLMARK_UV_RESPONSE_UP,0.751450598509832,0.131576954094431,0.129331355067524,0.751450598509832
