tam_state,signature,p_value,median_MPR,median_nonMPR,p_adj
Classical-Mono,HALLMARK_COMPLEMENT,0.000387729,0.127078421,0.142881386,0.009452311
Classical-Mono,HALLMARK_GLYCOLYSIS,0.000567139,0.066534477,0.081813148,0.009452311
Classical-Mono,HALLMARK_MTORC1_SIGNALING,0.000283172,0.116791711,0.139771347,0.009452311
Classical-Mono,HALLMARK_ADIPOGENESIS,0.001100462,0.071514827,0.08696856,0.013755778
Classical-Mono,HALLMARK_FATTY_ACID_METABOLISM,0.001912197,0.066592704,0.079226427,0.019121968
Classical-Mono,HALLMARK_COAGULATION,0.00509151,0.064864064,0.075456286,0.036367928
Classical-Mono,HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.004426517,0.144368524,0.169347981,0.036367928
Classical-Mono,HALLMARK_G2M_CHECKPOINT,0.017597219,0.064005002,0.053762951,0.104135146
Classical-Mono,HALLMARK_XENOBIOTIC_METABOLISM,0.018744326,0.045517149,0.053027867,0.104135146
Classical-Mono,HALLMARK_PROTEIN_SECRETION,0.02655958,0.083484039,0.096274328,0.132797898
Classical-Mono,HALLMARK_HEDGEHOG_SIGNALING,0.029702558,0.037527656,0.027632467,0.135011629
Classical-Mono,HALLMARK_APOPTOSIS,0.077501495,0.128085346,0.142363619,0.195397526
Classical-Mono,HALLMARK_INTERFERON_ALPHA_RESPONSE,0.052741556,0.133530377,0.164507947,0.195397526
Classical-Mono,HALLMARK_INTERFERON_GAMMA_RESPONSE,0.070562043,0.162654519,0.183090389,0.195397526
Classical-Mono,HALLMARK_MITOTIC_SPINDLE,0.076199726,0.053538227,0.045335607,0.195397526
Classical-Mono,HALLMARK_PEROXISOME,0.078159011,0.061503587,0.065916036,0.195397526
Classical-Mono,HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.073650352,0.11974364,0.125053477,0.195397526
Classical-Mono,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.063581559,0.133825666,0.150238672,0.195397526
Classical-Mono,HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.047709524,0.216091461,0.186945338,0.195397526
Classical-Mono,HALLMARK_UV_RESPONSE_UP,0.075555942,0.104217627,0.116754441,0.195397526
Classical-Mono,HALLMARK_HYPOXIA,0.109263234,0.119203287,0.131749732,0.260150556
Classical-Mono,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.118170301,0.075975348,0.080101822,0.268568865
Classical-Mono,HALLMARK_ESTROGEN_RESPONSE_EARLY,0.14293046,0.039964273,0.034445338,0.310718391
Classical-Mono,HALLMARK_DNA_REPAIR,0.151642343,0.058543349,0.063229203,0.315921547
Classical-Mono,HALLMARK_ANDROGEN_RESPONSE,0.17394755,0.076970119,0.08254754,0.333267875
Classical-Mono,HALLMARK_ANGIOGENESIS,0.175186041,0.074174073,0.086900476,0.333267875
Classical-Mono,HALLMARK_IL6_JAK_STAT3_SIGNALING,0.18663001,0.112299877,0.117502289,0.333267875
Classical-Mono,HALLMARK_UV_RESPONSE_DN,0.186629627,0.038133635,0.035190455,0.333267875
Classical-Mono,HALLMARK_MYOGENESIS,0.224260233,0.043297606,0.039759736,0.386655575
Classical-Mono,HALLMARK_MYC_TARGETS_V2,0.278107003,0.043340876,0.047790454,0.463511672
Classical-Mono,HALLMARK_KRAS_SIGNALING_DN,0.316025475,0.011965881,0.010093783,0.509718509
Classical-Mono,HALLMARK_E2F_TARGETS,0.376879422,0.037319578,0.040842265,0.578395675
Classical-Mono,HALLMARK_ESTROGEN_RESPONSE_LATE,0.391803215,0.054999107,0.057702751,0.578395675
Classical-Mono,HALLMARK_IL2_STAT5_SIGNALING,0.404876972,0.090522254,0.095772613,0.578395675
Classical-Mono,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.400490347,0.113049571,0.119760332,0.578395675
Classical-Mono,HALLMARK_KRAS_SIGNALING_UP,0.423837325,0.074291711,0.08075652,0.588662951
Classical-Mono,HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.439834913,0.094077154,0.103141603,0.594371504
Classical-Mono,HALLMARK_INFLAMMATORY_RESPONSE,0.483742219,0.105331368,0.108936227,0.63650292
Classical-Mono,HALLMARK_MYC_TARGETS_V1,0.583593919,0.195914612,0.194790104,0.746322476
Classical-Mono,HALLMARK_TGF_BETA_SIGNALING,0.597057981,0.119144187,0.125881909,0.746322476
Classical-Mono,HALLMARK_P53_PATHWAY,0.621642737,0.118022508,0.119690068,0.758100898
Classical-Mono,HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.652054504,0.026824967,0.02123291,0.776255362
Classical-Mono,HALLMARK_HEME_METABOLISM,0.674925603,0.045936942,0.045271526,0.783223403
Classical-Mono,HALLMARK_PANCREAS_BETA_CELLS,0.689236594,0.044077391,0.048834066,0.783223403
Classical-Mono,HALLMARK_APICAL_JUNCTION,0.726959466,0.074592712,0.076137013,0.804540198
Classical-Mono,HALLMARK_NOTCH_SIGNALING,0.740176983,0.041903648,0.046627486,0.804540198
Classical-Mono,HALLMARK_ALLOGRAFT_REJECTION,0.831619617,0.162809039,0.163195784,0.848591445
Classical-Mono,HALLMARK_BILE_ACID_METABOLISM,0.816435639,0.020734883,0.020948278,0.848591445
Classical-Mono,HALLMARK_SPERMATOGENESIS,0.80580988,0.009056228,0.009265725,0.848591445
Classical-Mono,HALLMARK_APICAL_SURFACE,0.896015748,0.04548531,0.042416551,0.896015748
IFN-stimulated,HALLMARK_PROTEIN_SECRETION,2.19E-06,0.079154825,0.099738776,0.00010973
IFN-stimulated,HALLMARK_INTERFERON_ALPHA_RESPONSE,1.16E-05,0.169696335,0.231937448,0.000290985
IFN-stimulated,HALLMARK_COAGULATION,5.74E-05,0.072971597,0.087750558,0.000956887
IFN-stimulated,HALLMARK_INTERFERON_GAMMA_RESPONSE,0.0002232,0.206735441,0.246025366,0.002790002
IFN-stimulated,HALLMARK_COMPLEMENT,0.000408712,0.141100393,0.160038407,0.004087119
IFN-stimulated,HALLMARK_APOPTOSIS,0.002020446,0.147870077,0.16263312,0.014431756
IFN-stimulated,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.002007326,0.108218498,0.126886587,0.014431756
IFN-stimulated,HALLMARK_UV_RESPONSE_UP,0.002981811,0.12433111,0.14002357,0.016565615
IFN-stimulated,HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.002969663,0.029288855,0.019119281,0.016565615
IFN-stimulated,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.004213983,0.077121293,0.08685334,0.021069916
IFN-stimulated,HALLMARK_MYC_TARGETS_V2,0.005333237,0.039117002,0.055235728,0.024241988
IFN-stimulated,HALLMARK_KRAS_SIGNALING_DN,0.006445022,0.014193462,0.017242765,0.026854259
IFN-stimulated,HALLMARK_PANCREAS_BETA_CELLS,0.007013886,0.033951504,0.041665259,0.026976486
IFN-stimulated,HALLMARK_FATTY_ACID_METABOLISM,0.00840908,0.071871422,0.080688962,0.028758026
IFN-stimulated,HALLMARK_MTORC1_SIGNALING,0.008627408,0.126288853,0.145128617,0.028758026
IFN-stimulated,HALLMARK_APICAL_SURFACE,0.011244491,0.043920166,0.05383018,0.033072032
IFN-stimulated,HALLMARK_PEROXISOME,0.011044161,0.057494686,0.064893052,0.033072032
IFN-stimulated,HALLMARK_XENOBIOTIC_METABOLISM,0.016461086,0.050705609,0.058626295,0.045725238
IFN-stimulated,HALLMARK_MITOTIC_SPINDLE,0.037518193,0.049798098,0.045512383,0.098732087
IFN-stimulated,HALLMARK_ADIPOGENESIS,0.064354958,0.072245445,0.082458914,0.160887396
IFN-stimulated,HALLMARK_INFLAMMATORY_RESPONSE,0.089464021,0.133059128,0.147789389,0.211765366
