signature,p_value,median_MPR,median_nonMPR,p_adj
HALLMARK_COMPLEMENT,1.47468990691124e-161,0.117020364415863,0.145176848874598,7.37344953455619e-160
HALLMARK_INTERFERON_ALPHA_RESPONSE,5.99773020261694e-158,0.0940055560686907,0.133921149296255,1.49943255065423e-156
HALLMARK_INTERFERON_GAMMA_RESPONSE,2.06482432096149e-130,0.125610932475884,0.159056806002144,3.44137386826915e-129
HALLMARK_MTORC1_SIGNALING,9.18853451679753e-115,0.116795284030011,0.139828510182208,9.18853451679753e-114
HALLMARK_UV_RESPONSE_UP,8.56980132619865e-115,0.108468225219325,0.134428508414313,9.18853451679753e-114
HALLMARK_APOPTOSIS,2.97236329849749e-102,0.125983217995352,0.153651202185075,2.47696941541457e-101
HALLMARK_INFLAMMATORY_RESPONSE,3.52866869381417e-85,0.0908610217934976,0.119049660593069,2.5204776384387e-84
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,1.36302602003264e-75,0.108249161346507,0.126353037857463,8.518912625204e-75
HALLMARK_P53_PATHWAY,1.73932210385847e-70,0.113749553411933,0.127045373347624,9.66290057699147e-70
HALLMARK_FATTY_ACID_METABOLISM,5.9209622014005e-68,0.0671295986882851,0.0778273829414674,2.96048110070025e-67
HALLMARK_COAGULATION,1.19165758010115e-67,0.0762604541839531,0.0893981530730615,5.41662536409614e-67
HALLMARK_CHOLESTEROL_HOMEOSTASIS,4.07506433592401e-64,0.103243243243243,0.122924462924463,1.69794347330167e-63
HALLMARK_IL2_STAT5_SIGNALING,3.28356039215546e-63,0.0901740847092606,0.103201722900215,1.26290784313672e-62
HALLMARK_KRAS_SIGNALING_UP,2.47832713680348e-59,0.0745033940693105,0.0867095391211147,8.85116834572673e-59
HALLMARK_APICAL_SURFACE,9.03907593590451e-57,0.0374788494077835,0.0504307029687741,3.01302531196817e-56
HALLMARK_TNFA_SIGNALING_VIA_NFKB,5.10271832982539e-56,0.193122543765631,0.24225259021079,1.59459947807044e-55
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,3.30544314453186e-54,0.0778706680957485,0.0882475884244373,9.72189160156428e-54
HALLMARK_ALLOGRAFT_REJECTION,4.44402504889817e-54,0.138710253662022,0.153261879242587,1.23445140247171e-53
HALLMARK_PROTEIN_SECRETION,2.58777345411802e-50,0.0865196922723619,0.0994230106786084,6.80993014241584e-50
HALLMARK_IL6_JAK_STAT3_SIGNALING,1.76780679811556e-49,0.097803776683087,0.116927971453834,4.41951699528891e-49
